Tipo_Acero_Limpio,Grado_Acero,Ciclo,Familia,Muestra_Probeta_Temp,Soaking,,Alarg Max Req (merged),Alarg Min Req (merged),Alarg. Obt. (%) (merged),Fluencia 0.2% Obt (merged),Fluencia 0.5% Obt (merged),Fluencia 0.6% Obt (merged),Fluencia 0.7% Obt (merged),Fluencia Max Req (merged),Fluencia Min Req (merged),Fluencia Offset Obt (merged),Rotura Max Req (merged),Rotura Min Req (merged),Rotura Obt (merged),,,Dureza Ind. Máx. Obt 1 (merged),Dureza Ind. Max. Req (merged),Dureza Ind. Mín. Obt 1 (merged),Dureza Ind. Min. Req (merged),Dureza Prom. Máx. Obt 1 (merged),Dureza Prom. Max. Req (merged),Dureza Prom. Mín. Obt 1 (merged),Dureza Prom. Mín. Req (merged),,,Area Dúctil Indiv. Max. Req (%) (merged),Area Dúctil Indiv. Min. Obt (%) (merged),Area Dúctil Indiv. Min. Req (%) (merged),Area Dúctil Prom. Max. Req (%) (merged),Area Dúctil Prom. Min. Obt (%) (merged),Area Dúctil Prom. Min. Req (%) (merged),Energia Indiv. Max. Req. (J) (merged),Energia Indiv. Min. Obt. (J) (merged),Energia Indiv. Min. Req. (J) (merged),Energia Prom. Max. Req. (J) (merged),Energia Prom. Min. Obt. (J) (merged),Energia Prom. Min. Req. (J) (merged),Temp Ensayo Req (merged)
DS742,13-5-2 95,87167,TN95 Super Cr13,3934903-6052607-570,45,,,,24.9,719.647,,,,758,655,,,724,822.454,,,,,,,,,,,,,,,,,,,,,,,,,
DS742,13-5-2 95,87167,TN95 Super Cr13,3934903-6052609-570,45,,,,,,,,,,,,,,,,,26.4,30,25.5,,25.87,28,25.87,,,,,,,,,,,,,,,,
DS742,13-5-2 95,87167,TN95 Super Cr13,3934903-6052611-570,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,49,,,50,,0
DS742,13-5-2 95,87167,TN95 Super Cr13,3934903-6052612-570,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,48,,,50,,-10
DS742,13-5-2 95,87167,TN95 Super Cr13,3934904-6052614-580,45,,,,22.5,694.697,,,,758,655,,,724,809.306,,,,,,,,,,,,,,,,,,,,,,,,,
DS742,13-5-2 95,87167,TN95 Super Cr13,3934904-6052616-580,45,,,,,,,,,,,,,,,,,25.7,30,25,,25.4,28,25.4,,,,,,,,,,,,,,,,
DS742,13-5-2 95,87167,TN95 Super Cr13,3934904-6052618-580,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,50,,,51,,0
DS742,13-5-2 95,87167,TN95 Super Cr13,3934904-6052619-580,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,50,,,51,,-10
DS742,13-5-2 95,87167,TN95 Super Cr13,3937827-6057639-585,45,,,,20.6,694.531,,,,758,655,,,724,805.865,,,,,,,,,,,,,,,,,,,,,,,,,
DS742,13-5-2 95,87167,TN95 Super Cr13,3937827-6057641-585,45,,,,,,,,,,,,,,,,,25.7,30,25.3,,25.5,28,25.5,,,,,,,,,,,,,,,,
