Tipo_Acero_Limpio,Grado_Acero,Ciclo,Familia,Muestra_Probeta_Temp,Muestra,Test type,Muestra_Temp_TestType_Index,Tipo de muestra (Sin °C),Tubo,Alarg Max Req (merged),Alarg Min Req (merged),Alarg. Obt. (%) (merged),Fluencia 0.2% Obt (merged),Fluencia 0.5% Obt (merged),Fluencia 0.6% Obt (merged),Fluencia 0.7% Obt (merged),Fluencia Max Req (merged),Fluencia Min Req (merged),Fluencia Offset Obt (merged),Rotura Max Req (merged),Rotura Min Req (merged),Rotura Obt (merged),Dureza Ind. Máx. Obt 1 (merged),Dureza Ind. Max. Req (merged),Dureza Ind. Mín. Obt 1 (merged),Dureza Ind. Min. Req (merged),Dureza Prom. Máx. Obt 1 (merged),Dureza Prom. Max. Req (merged),Dureza Prom. Mín. Obt 1 (merged),Dureza Prom. Mín. Req (merged),Area Dúctil Indiv. Max. Req (%) (merged),Area Dúctil Indiv. Min. Obt (%) (merged),Area Dúctil Indiv. Min. Req (%) (merged),Area Dúctil Prom. Max. Req (%) (merged),Area Dúctil Prom. Min. Obt (%) (merged),Area Dúctil Prom. Min. Req (%) (merged),Energia Indiv. Max. Req. (J) (merged),Energia Indiv. Min. Obt. (J) (merged),Energia Indiv. Min. Req. (J) (merged),Energia Prom. Max. Req. (J) (merged),Energia Prom. Min. Obt. (J) (merged),Energia Prom. Min. Req. (J) (merged),Temp Ensayo Req (merged),Full File Path,OP,Tipo de probeta,Colada.1
DS008,HE360D,32531,,4339146-6649160-520,4339146,Tracción,4339146-520-T1,520,5,,23,18,,,,,,360,499,520,445,549,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339147-6649166-540,4339147,Tracción,4339147-540-T1,540,5,,23,18,,,,,,360,490,520,445,544,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339148-6649155-560,4339148,Tracción,4339148-560-T1,560,5,,23,14.5,,,,,,360,491,520,445,541,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339149-6649163-580,4339149,Tracción,4339149-580-T1,580,5,,23,20.5,,,,,,360,473,520,445,531,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339151-6649177-600,4339151,Tracción,4339151-600-T1,600,5,,23,18,,,,,,360,465,520,445,522,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4340257-6650886-605,4340257,Tracción,4340257-605-T1,605,5,,23,23,,,,,,360,419,520,445,492,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4340258-6650942-610,4340258,Tracción,4340258-610-T1,610,5,,23,26,,,,,,360,366,520,445,454,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339152-6649174-620,4339152,Tracción,4339152-620-T1,620,5,,23,29.5,,,,,,360,297,520,445,397,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339152-6649338-620,4339152,Tracción,4339152-620-T2,620,5,,23,29.5,,,,,,360,301,520,445,410,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339818-6650352-620,4339818,Tracción,4339818-620-T1,620,5,,23,28.5,,,,,,360,327,520,445,423,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339819-6650387-630,4339819,Tracción,4339819-630-T1,630,5,,23,33.5,,,,,,360,265,520,445,379,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS008,HE360D,32531,,4339820-6650409-640,4339820,Tracción,4339820-640-T1,640,5,,23,42,,,,,,360,264,520,445,376,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS008/82.50 x 2.00 – DS008 – HE360D (32531 OP 76324).xlsx,76324,Tracción segmento tubular - 19 mm - ASTM - Temp. Amb.,27260
DS010,E235,32319,E 235,4184034-6423743-520,4184034,Tracción,4184034-520-T1,520,5,,6,18.5,,,,,,,587,,480,646,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS010/32.00 x 4.00 – DS010 – E235 – (32319 OP 73459).xlsx,73459,Tracción tubular - DIN - Temp. Amb.,22734
DS010,E235,32319,E 235,4184036-6423760-540,4184036,Tracción,4184036-540-T1,540,5,,6,16,,,,,,,571,,480,628,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS010/32.00 x 4.00 – DS010 – E235 – (32319 OP 73459).xlsx,73459,Tracción tubular - DIN - Temp. Amb.,22734
DS010,E235,32319,E 235,4184037-6424032-540,4184037,Tracción,4184037-540-T1,540,5,,6,18.5,,,,,,,549,,480,613,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS010/32.00 x 4.00 – DS010 – E235 – (32319 OP 73459).xlsx,73459,Tracción tubular - DIN - Temp. Amb.,22734
DS010,E235,32319,E 235,4184038-6424531-560,4184038,Tracción,4184038-560-T1,560,5,,6,20.5,,,,,,,542,,480,602,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS010/32.00 x 4.00 – DS010 – E235 – (32319 OP 73459).xlsx,73459,Tracción tubular - DIN - Temp. Amb.,22734
DS010,E235,32319,E 235,4184039-6424514-560,4184039,Tracción,4184039-560-T1,560,5,,6,19,,,,,,,553,,480,613,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS010/32.00 x 4.00 – DS010 – E235 – (32319 OP 73459).xlsx,73459,Tracción tubular - DIN - Temp. Amb.,22734
DS010,E235,32319,E 235,4184040-6424511-580,4184040,Tracción,4184040-580-T1,580,5,,6,19,,,,,,,536,,480,594,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS010/32.00 x 4.00 – DS010 – E235 – (32319 OP 73459).xlsx,73459,Tracción tubular - DIN - Temp. Amb.,22734
DS010,E235,32319,E 235,4184041-6424522-580,4184041,Tracción,4184041-580-T1,580,5,,6,18.5,,,,,,,536,,480,596,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS010/32.00 x 4.00 – DS010 – E235 – (32319 OP 73459).xlsx,73459,Tracción tubular - DIN - Temp. Amb.,22734
DS027,B-L245-B,50367,,4117321-6332345-630,4117321,Tracción,4117321-630-T1,630,15,,27,42,,366,,,552,379,,,655,504,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4117321-6332348-630,4117321,Charpy,4117321-630-C1,630,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,232,,,242,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS027,B-L245-B,50367,,4117323-6335048-640,4117323,Tracción,4117323-640-T1,640,15,,27,44.5,,370,,,552,379,,,655,506,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4117323-6335051-640,4117323,Charpy,4117323-640-C1,640,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,244,,,252,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118181-6330614-650,4118181,Tracción,4118181-650-T1,650,15,,27,44.5,,370,,,552,379,,,655,510,,,,,,,,,,,,,,,,,,,,,,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Tracción segmento tubular - 38 mm - API - Temp. Amb.,89537
DS027,B-L245-B,50367,,4118181-6330617-650,4118181,Charpy,4118181-650-C1,650,15,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,245,,,247,,-10,https://tenaris.sharepoint.com/sites/IndicadoresMPME-AR/Informes/Curvas de Revenido/DS027/219.10 x 8.20 – DS027 – B-L245-B (50367).xlsx,,Charpy V longitudinal - Cuerpo - 7.5 mm - Temp. Amb.,89537
